#{"env_id": 1, "t_start": 1534924858.3933766}
r,l,t
-96.237009,100,2061.793464
-87.614951,100,2064.32723
-97.08436,100,2066.829153
-100,100,2069.330826
-97.476026,100,2071.802698
-81.998666,100,2074.237236
-100,100,2076.508284
-100,100,2079.126114
-100,100,2081.657536
-100,100,2084.212984
-99.193032,100,2086.660422
-97.430774,100,2089.093624
-99.502365,100,2091.563846
-99.361904,100,2094.0177
-100,100,2096.383125
-100,100,2098.853871
-100,100,2101.34049
-99.989614,100,2103.857649
-100,100,2106.328769
-94.342764,100,2108.830443
-81.871154,100,2111.362343
-56.246134,100,2113.89579
-99.147062,100,2116.212932
-99.981708,100,2118.71525
-96.794044,100,2121.15755
-37.089545,100,2123.590643
-98.048852,100,2125.826627
-98.20497,100,2128.268378
-98.065821,100,2130.73498
-83.688945,100,2133.258883
-81.5988,100,2135.479414
-99.916017,100,2137.712699
-100,100,2140.246558
-47.352129,100,2142.734779
-97.039375,100,2145.175893
-100,100,2147.677576
-99.338141,100,2150.179705
-99.368047,100,2152.729311
-93.838828,100,2155.284748
-99.823652,100,2157.80012
-100,100,2160.285187
-99.957829,100,2162.885831
-100,100,2165.366974
-100,100,2167.890932
-91.487338,100,2170.439277
-100,100,2172.826139
-100,100,2175.343725
-100,100,2177.862106
-99.219962,100,2180.334003
-100,100,2182.905371
-100,100,2185.439321
-98.590202,100,2187.957884
-83.537572,100,2190.427784
-75.26458,100,2193.015867
-100,100,2195.49703
-100,100,2198.037616
-100,100,2200.58765
-100,100,2203.105227
-98.634876,100,2205.609534
-89.272749,100,2208.180797
-95.65867,100,2210.513949
-100,100,2213.054732
-99.674779,100,2215.619585
-99.625748,100,2218.174224
-90.340526,100,2220.693151
-65.762536,100,2223.248438
-100,100,2225.61304
-100,100,2228.15222
-94.373558,100,2230.701531
-93.602567,100,2233.202795
-97.502454,100,2235.737535
-100,100,2238.260159
-98.949362,100,2240.740257
-100,100,2243.21091
-88.697905,100,2246.396668
-100,100,2248.779045
-98.87485,100,2251.303618
-12.403069,100,2253.836451
-71.428655,100,2256.185579
-100,100,2258.710029
-95.627121,100,2261.211817
-100,100,2263.714723
-100,100,2266.296679
-100,100,2268.82014
-100,100,2271.353256
-100,100,2273.901404
-99.095549,100,2276.402932
-100,100,2278.904045
-86.678195,100,2281.444001
-100,100,2283.77783
-100,100,2286.342566
-100,100,2288.845729
-99.599716,100,2291.383801
-99.871467,100,2294.24904
-99.807143,100,2296.751159
-100,100,2299.269555
-92.214363,100,2301.853714
-98.080728,100,2304.34079
-100,100,2306.674432
-87.355273,100,2309.190713
-100,100,2311.7216
-98.080322,100,2314.307648
-99.129438,100,2316.908266
-58.991473,100,2319.478614
-100,100,2321.867112
-100,100,2324.431769
-99.177582,100,2326.956036
-90.57741,100,2329.490233
-75.652255,100,2331.79165
-87.672681,100,2334.125568
-100,100,2336.465079
-98.589617,100,2338.983141
-100,100,2341.499813
-90.14188,100,2344.003169
-99.220039,100,2346.319631
-83.259563,100,2348.852133
-100,100,2351.407219
-98.958204,100,2353.941071
-100,100,2356.443056
-97.615577,100,2358.927382
-91.89765,100,2361.429474
-100,100,2363.68407
-96.630064,100,2366.233501
-100,100,2368.75051
-86.748693,100,2371.237012
-88.519853,100,2373.738302
-99.074821,100,2376.209413
-99.379058,100,2378.756451
-100,100,2381.244237
-71.923318,100,2383.700051
-100,100,2386.032863
-100,100,2388.5511
-100,100,2391.084302
-95.125748,100,2393.626447
-93.643234,100,2396.229605
-100,100,2398.56272
-99.358401,100,2401.095823
-94.476931,100,2403.61985
-99.930597,100,2406.185469
-100,100,2408.725478
-99.805303,100,2411.306881
-100,100,2413.84836
-100,100,2416.350451
-92.112186,100,2418.899611
-99.947365,100,2421.439101
-99.483129,100,2423.955961
-100,100,2426.490172
-92.331543,100,2429.061265
-85.772023,100,2431.59421
-99.634173,100,2434.096548
-90.023063,100,2436.598547
-100,100,2439.152608
-84.060851,100,2441.656805
-100,100,2444.174263
-100,100,2446.661707
-100,100,2449.178581
-100,100,2451.643209
-83.203838,100,2454.067381
-89.164813,100,2456.569383
-93.527826,100,2459.134305
-95.419729,100,2461.591195
-100,100,2464.139977
-97.145486,100,2466.724889
-100,100,2469.297454
-100,100,2471.814234
-85.2607,100,2474.399049
-100,100,2476.731425
-100,100,2479.28546
-89.826757,100,2481.848614
