EpLenMean,TotalRewardMean,EVAfter,KL,EVBefore,EpRewMean,EpRewSEM
100.0,-502896.9941881181,-174524907113915.88,0.0051745805,-191808026004440.97,-99.33146553407171,0.0
100.0,-502995.36861268984,-473971634597026.0,0.0046584327,-751849378104292.1,-98.37442457175082,0.0
100.0,-503094.5772193488,-1515255678377329.2,0.005812156,-1702893727297585.2,-99.20860665896404,0.0
100.0,-503194.5772193488,-277416363418957.72,0.00918976,-413415225986995.5,-100.0,0.0
100.0,-503294.5772193488,-520712019937929.2,0.016560115,-643755199312248.9,-100.0,0.0
100.0,-503394.5772193488,-176688157909221.75,0.010234308,-203046715157971.78,-100.0,0.0
100.0,-503494.5772193488,-1146355144605638.2,0.007485174,-1306201628982561.5,-100.0,0.0
100.0,-503594.5772193488,-1513422914321212.0,0.006910891,-2083260289780942.0,-100.0,0.0
100.0,-503694.5038035038,-209457003554185.62,0.0054739276,-267368449274110.53,-99.92658415499365,0.0
100.0,-503794.5038035038,-1609302871663047.0,0.009227131,-1579912106371642.5,-100.0,0.0
100.0,-503883.7494655914,-199734077631017.12,0.0073930216,-171897729982595.06,-89.24566208758787,0.0
100.0,-503946.6039979955,-1985698954112044.2,0.004104164,-2621728561560984.0,-62.85453240409519,0.0
100.0,-504044.15330093034,-168869071716477.06,0.005736336,-174030830775862.2,-97.54930293483744,0.0
100.0,-504142.1718483065,-103424149378446.06,0.005271138,-111501745563768.61,-98.01854737614234,0.0
100.0,-504234.993989041,-1131216023037754.2,0.004756246,-1267566015930428.2,-92.82214073452253,0.0
100.0,-504334.993989041,-152425908430231.66,0.013052711,-183895927928972.78,-100.0,0.0
100.0,-504434.993989041,-1110752842754922.9,0.0081528295,-1379200858968869.8,-100.0,0.0
100.0,-504531.13940880576,-84169083340641.45,0.0061716274,-84478856352094.17,-96.14541976473885,0.0
100.0,-504631.1147765966,-136690036048321.5,0.0068585267,-100146918850255.03,-99.97536779082837,0.0
100.0,-504723.76000018587,-466702750916013.3,0.0047854693,-427313064543134.06,-92.64522358927356,0.0
100.0,-504815.952650191,-485955050933920.7,0.005306433,-495702712795871.0,-92.19265000509321,0.0
100.0,-504914.33753836475,-327223842524196.2,0.0056545944,-236155832314638.56,-98.38488817379563,0.0
100.0,-505010.3449080955,-274237319028526.44,0.003453407,-341862525717972.25,-96.00736973074564,0.0
100.0,-505110.3449080955,-378549467295901.6,0.006041556,-1037120619259791.4,-100.0,0.0
100.0,-505210.3449080955,-591999171389889.2,0.004509101,-423115402009714.94,-100.0,0.0
100.0,-505308.41955670173,-134179136870275.34,0.007166448,-135674739485029.62,-98.07464860626847,0.0
100.0,-505372.31901211955,-1945114603975586.5,0.0031794799,-1247339901426722.2,-63.899455417832485,0.0
